,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
0, Bridge Fire,2017-10-31 11:22:00, Shasta-Trinity National Forest ,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37, Shasta-Trinity National Forest ,-122.309,40.774,2018-01-09 13:46:00,2018-01-09,2017-10-31
1,Pala Fire,2009-05-24 14:56:00,CAL FIRE San Diego Unit,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,CAL FIRE San Diego Unit,1.0,1.0,2009-05-25 00:00:00,2009-05-25,2009-05-24
2,River Fire,2013-02-24 08:16:00,CAL FIRE San Bernardino Unit,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",406,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651000000001,36.602575,2013-02-28 20:00:00,2013-02-28,2013-02-24
3,Fawnskin Fire,2013-04-20 17:30:00,San Bernardino National Forest,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,San Bernardino National Forest,-116.94131100000001,34.288877,2013-04-22 09:00:00,2013-04-22,2013-04-20
4,Gold Fire,2013-04-30 12:59:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.63500400000001,37.116295,2013-05-01 07:00:00,2013-05-01,2013-04-30
5,Panther Fire,2013-05-01 09:12:00,CAL FIRE Butte Unit,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6965,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,2013-05-09 09:00:00,2013-05-09,2013-05-01
6,Silverado Fire,2013-04-30 23:44:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"7300 block of Silverado Trail, north of Napa",75,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,2013-05-01 17:15:00,2013-05-01,2013-04-30
7,Yellow Fire,2013-05-01 02:01:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828000000004,2013-05-03 06:15:00,2013-05-03,2013-05-01
8,Summit Fire,2013-05-01 12:38:00,CAL FIRE/Riverside County Fire ,Riverside,Mias Canyon and Bluff Road in Banning,3166,CAL FIRE/Riverside County Fire ,-116.94131100000001,34.288877,2013-05-04 18:30:00,2013-05-04,2013-05-01
9,Tres Pinos Fire,2013-05-03 11:42:00,CAL FIRE San Benito-Monterey ,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354,CAL FIRE San Benito-Monterey ,-120.937494,37.160346000000004,2013-05-03 18:45:00,2013-05-03,2013-05-03
10,306 Fire,2013-05-01 19:00:00,CAL FIRE Tehama-Glenn Unit,Glenn,2 miles south of the community of Elk Creek,217,CAL FIRE Tehama-Glenn Unit,-122.56086200000001,39.514139,2013-05-05 18:00:00,2013-05-05,2013-05-01
11,Lytle Fire,2013-05-13 13:30:00,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",75,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,2013-05-15 08:15:00,2013-05-15,2013-05-13
12,Gorgonio Fire,2013-05-04 11:43:00,CAL FIRE/Riverside County Fire,Riverside,"Highway 243, south of Banning and north of Pine Cove",510,CAL FIRE/Riverside County Fire,-116.855019,33.894055,2013-05-05 18:45:00,2013-05-05,2013-05-04
13,Grand Fire,2013-05-15 12:50:00,CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura","South of Frazier Mountain Park Rd, South of Frazier Park",4346,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,2013-05-21 19:45:00,2013-05-21,2013-05-15
14,54 Fire,2013-05-16 13:48:00,CAL FIRE Riverside Unit,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",40,CAL FIRE Riverside Unit,-116.161201,33.655638,2013-05-17 08:30:00,2013-05-17,2013-05-16
15,Lake Fire,2013-05-17 13:23:00,CAL FIRE/Los Angeles County ,Los Angeles,I-5 Southbound at Lake Hughes Road,712,CAL FIRE/Los Angeles County ,-118.61004399999999,34.49149,2013-05-18 19:00:00,2013-05-18,2013-05-17
16,Lilly 2 Fire,2013-05-19 15:07:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,91,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,2013-05-20 19:10:00,2013-05-20,2013-05-19
17,Cottontail Fire,2013-05-20 15:45:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,2013-05-20 19:10:00,2013-05-20,2013-05-20
18,Cherry Fire,2013-05-20 13:47:00,CAL FIRE Riverside Unit,Riverside,Off Sunset Ave & Mesa St in Banning,25,CAL FIRE Riverside Unit,-116.90721299999998,33.96201,2013-05-20 18:50:00,2013-05-20,2013-05-20
19,Water Fire,2013-05-21 14:16:00,CAL FIRE/Riverside County Fire ,Riverside,Off Whitewater Canyon Road in Whitewater,90,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,2013-05-21 19:30:00,2013-05-21,2013-05-21
20,Shelton Fire,2013-05-30 11:20:00,CAL FIRE Tuolumne-Calaveras Unit ,San Joaquin,off North Shelton Rd in the Linden Peters area,303,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.049929999999996,2013-05-30 13:25:00,2013-05-30,2013-05-30
21,Border Fire,2013-05-22 16:14:00,CAL FIRE San Diego Unit,San Diego,Off Alta Rd in the Otay Mesa area,100,CAL FIRE San Diego Unit,-116.900368,32.564465000000006,2013-05-23 08:30:00,2013-05-23,2013-05-22
22,San Felipe Fire,2013-05-23 12:20:00,CAL FIRE San Diego Unit,San Diego,"San Felipe Road, north of Highway 78, East of Julian",2781,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52578999999999,33.121109999999994,2013-05-26 17:45:00,2013-05-26,2013-05-23
23,Homestead Fire,2013-05-25 17:35:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Homestead Rd & Hwy 41, northeast of Atascadero ",50,CAL FIRE San Luis Obispo Unit,-120.6368,35.5123,2013-05-25 18:45:00,2013-05-25,2013-05-25
24,Smiley Fire,2013-05-25 14:59:00,CAL FIRE/Riverside County Fire,Riverside,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",124,CAL FIRE/Riverside County Fire,-117.18793400000001,33.963591,2013-05-25 23:00:00,2013-05-25,2013-05-25
25,General Fire,2013-05-26 12:04:00,CAL FIRE San Diego Unit,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",1271,CAL FIRE San Diego Unit,-116.5209,33.044579999999996,2013-05-31 06:15:00,2013-05-31,2013-05-26
26,White Fire,2013-05-27 14:45:00,USFS Los Padres National Forest,Santa Barbara,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",1984,USFS Los Padres National Forest,-119.82428999999999,34.55048,2013-05-30 19:30:00,2013-05-30,2013-05-27
27,Magic Fire,2013-05-28 11:30:00,Los Angeles County Fire Department,Los Angeles,off Magic Mtn Parkway in Valencia,149,Los Angeles County Fire Department,-118.58688000000001,34.419284000000005,2013-05-29 15:30:00,2013-05-29,2013-05-28
28,Olive Fire,2013-05-28 15:24:00,Santa Barbara County Fire,Santa Barbara,"Hwy 246 and Meadowvale, East of Solvang ",170,Santa Barbara County Fire,-120.074655,34.611824,2013-05-29 10:30:00,2013-05-29,2013-05-28
29,Branch Fire,2013-06-01 17:27:00,Los Padres National Forest,San Luis Obispo,"west of the Carrizo Plain, Los Padres National Forest",500,Los Padres National Forest,-120.05131000000002,35.15832,2013-06-03 18:30:00,2013-06-03,2013-06-01
30,Murphy Fire,2013-06-02 13:30:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,off Lime Kiln Rd,100,CAL FIRE Tuolumne-Calaveras Unit,-120.33313000000001,37.91529,2013-06-02 16:55:00,2013-06-02,2013-06-02
31,Lone Fire,2013-06-03 13:49:00,CAL FIRE Butte Unit,Butte,Palermo Road and Lone Tree Road near Palermo,298,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.57680400000001,39.434183000000004,2013-06-03 20:00:00,2013-06-03,2013-06-03
32,Hathaway Fire,2013-06-09 12:30:00,USFS San Bernardino National Forest,Riverside,"Hathaway Canyon area, northeast of Banning",0,USFS San Bernardino National Forest,-116.84137,33.99647,2013-06-09 16:45:00,2013-06-09,2013-06-09
33,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10 00:46:00,CAL FIRE Sonoma-Lake-Napa Unit,"Sonoma, Solano, Lake, Colusa","throughout Sonoma, Solano, Lake & Colusa Counties",28,CAL FIRE Sonoma-Lake-Napa Unit,-122.0437,38.4229,2013-06-14 15:45:00,2013-06-14,2013-06-10
34,152 Fire,2013-06-04 15:42:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,Hwy 152 in San Luis Creek Reservoir,124,CAL FIRE Madera-Mariposa-Merced Unit,-121.00693899999999,37.03776,2013-06-05 08:30:00,2013-06-05,2013-06-04
35,Lake Fire,2013-06-05 16:05:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,Lakeshore Drive and Patterson Drive in Clearlake Oaks,30,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.992329999999995,2013-06-06 07:00:00,2013-06-06,2013-06-05
36,Powerhouse Fire,2013-05-30 15:28:00,USFS Angeles National Forest/Los Angeles County/CAL FIRE,Los Angeles,Angeles National Forest,30274,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,2013-06-08 18:30:00,2013-06-08,2013-05-30
37,Vasco Fire,2013-06-08 10:16:00,CAL FIRE Santa Clara Unit,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",240,CAL FIRE Santa Clara Unit,-121.73721299999998,37.775057000000004,2013-06-08 13:25:00,2013-06-08,2013-06-08
38,Viper Fire,2013-06-08 15:37:00,CAL FIRE/Riverside County Fire,Riverside,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",42,CAL FIRE/Riverside County Fire,-117.1265,33.969359999999995,2013-06-08 19:00:00,2013-06-08,2013-06-08
39,Northern California Lightning Activity,2013-06-10 00:46:00,California Northern Region,,Across Northern California,60,California Northern Region,-121.5747,39.9845,2013-06-14 16:30:00,2013-06-14,2013-06-10
40,Roadrunner Fire,2013-06-12 16:43:00,CAL FIRE Amador-El Dorado Unit,Amador,"Roadrunner Drive, south of Ione",96,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,2013-06-13 09:45:00,2013-06-13,2013-06-12
41,Revis Fire,2013-06-12 16:40:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,75,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636000000002,37.169379,2013-06-14 16:30:00,2013-06-14,2013-06-12
42,Clinton Fire,2013-06-13 11:54:00,CAL FIRE/Fresno County Fire,Fresno,"Clinton and Highland, East of Fresno",108,CAL FIRE/Fresno County Fire,-119.62838899999998,36.772425,2013-06-13 21:30:00,2013-06-13,2013-06-13
43,Carstens Fire,2013-06-16 14:12:00,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Mariposa,"Off Carstens Road, east of 140 in the Midpines area.",1708,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071000000001,37.58202,2013-06-26 11:15:00,2013-06-26,2013-06-16
44,PFE Fire,2013-06-13 11:28:00,CAL FIRE/Placer County Fire,Placer,"PFE Road and Watt Avenue, West Roseville",237,CAL FIRE/Placer County Fire,-121.38086200000001,38.729296999999995,2013-06-13 14:15:00,2013-06-13,2013-06-13
45,Michelle Fire,2013-06-13 15:54:00,CAL FIRE/Fresno County Fire,Fresno,"off McKinley Ave & Academy Ave, north of Sanger ",35,CAL FIRE/Fresno County Fire,-119.55824399999999,36.763366999999995,2013-06-13 21:30:00,2013-06-13,2013-06-13
46,Palmyrita Fire,2013-06-14 13:47:00,CAL FIRE/Riverside County Fire,Riverside,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",40,CAL FIRE/Riverside County Fire,-117.302057,34.001745,2013-06-15 08:00:00,2013-06-15,2013-06-14
47,Rolling Fire,2013-06-16 18:17:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"off Hwy 41 & Road 145, northwest of Friant ",482,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106000000001,37.015575,2013-06-18 19:30:00,2013-06-18,2013-06-16
48,California Fire,2013-06-18 15:18:00,CAL FIRE Sanoma-Lake-Napa Unit,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",124,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,2013-06-18 22:30:00,2013-06-18,2013-06-18
49,Sierra Fire,2013-06-17 14:41:00,CAL FIRE/Fresno County Fire,Fresno,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",46,CAL FIRE/Fresno County Fire,-119.463757,37.03087,2013-06-19 08:45:00,2013-06-19,2013-06-17
50,George Fire,2013-06-25 13:36:00,CAL FIRE/Fresno County Fire,Fresno,off Bronco Lane in Squaw Valley,150,CAL FIRE/Fresno County Fire,-119.2248,36.7218,2013-06-25 17:15:00,2013-06-25,2013-06-25
51,Mount Fire,2013-06-20 14:29:00,CAL FIRE Sanoma-Lake-Napa Unit,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",25,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796000000001,38.980579999999996,2013-06-20 13:15:00,2013-06-20,2013-06-20
52,Mills Fire,2013-06-28 14:30:00,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",534,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,2013-07-01 06:00:00,2013-07-01,2013-06-28
53,Concord Fire,2013-07-01 15:41:00,CAL FIRE Santa Clara Unit,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,274,CAL FIRE Santa Clara Unit,-121.74367,39.90465,2013-07-01 18:30:00,2013-07-01,2013-07-01
54,Freeman Fire,2013-06-29 14:09:00,CAL FIRE San Benito-Monterey Unit ,Monterey,"off Hwy 198, 10 miles east of King City",105,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,2013-06-29 18:30:00,2013-06-29,2013-06-29
55,Kirker Fire,2013-07-01 13:19:00,CAL FIRE Santa Clara Unit,Contra Costa,Kirker Pass Road south of Pittsburg,492,CAL FIRE Santa Clara Unit,-121.91453,37.96866,2013-07-01 18:40:00,2013-07-01,2013-07-01
56,Northern Region July Lightning,2013-07-02 12:00:00,CAL FIRE Northern Region,,Throughout northeastern California,754,CAL FIRE Northern Region,-121.5747,39.9845,2013-07-04 10:45:00,2013-07-04,2013-07-02
57,Fox Fire (formally 3-7 Fire),2013-07-03 22:56:00,CAL FIRE Lassen-Modoc Unit,Modoc,5 miles northwest of Aiden,502,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,2013-07-05 18:30:00,2013-07-05,2013-07-03
58,Vina Fire,2013-07-04 07:30:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,2013-07-04 10:30:00,2013-07-04,2013-07-04
59,Grant Fire,2013-07-04 10:00:00,CAL FIRE Santa Clara Unit,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50,CAL FIRE Santa Clara Unit,-121.5869,37.7393,2013-07-04 11:30:00,2013-07-04,2013-07-04
60,Fallon Fire,2013-07-06 13:09:00,CAL FIRE Santa Clara Unit / Alameda County Fire,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,38,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,2013-07-06 14:30:00,2013-07-06,2013-07-06
61,Chariot Fire,2013-07-06 12:55:00,CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",7055,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381000000001,32.95435,2013-07-15 06:15:00,2013-07-15,2013-07-06
62,Adelaida Fire,2013-07-07 13:16:00,CAL FIRE San Luis Obispo,San Luis Obispo,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",85,CAL FIRE San Luis Obispo,-120.83417,35.62743,2013-07-07 22:00:00,2013-07-07,2013-07-07
63,McGanney Fire,2013-07-08 09:59:00,CAL FIRE Nevada-Placer-Yuba Unit,Yuba,"off Highway 20 and McGanney Lane, west of Smartsville",73,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.205999999999996,2013-07-08 17:30:00,2013-07-08,2013-07-08
64,Fiddler Fire,2013-07-09 11:59:00,CAL FIRE Shasta-Trinity Unit,Shasta,off Fiddler,43,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373000000000005,2013-07-09 15:00:00,2013-07-09,2013-07-09
65,Kyburz Fire,2013-07-08 12:45:00,Eldorado National Forest,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",572,Eldorado National Forest,-120.29799999999999,38.774,2013-07-11 18:30:00,2013-07-11,2013-07-08
66,Uvas Fire,2013-07-12 13:09:00,CAL FIRE Santa Clara Unit,Santa Clara,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",50,CAL FIRE Santa Clara Unit,-121.7804,37.1438,2013-07-12 17:45:00,2013-07-12,2013-07-12
67,Diablo Fire,2013-07-12 15:35:00,CAL FIRE Santa Clara Unit,Stanislaus,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",150,CAL FIRE Santa Clara Unit,-121.1955,37.436,2013-07-13 21:45:00,2013-07-13,2013-07-12
68,Mountain Fire,2013-07-15 13:43:00,CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,Hwy 243 & Hwy 74 near Mountain Center,27531,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,2013-07-30 18:00:00,2013-07-30,2013-07-15
69,Orleans Complex,2013-08-03 08:00:00,Six Rivers National Forest,Humboldt,"10 miles east of Somes Bar, California",0,Six Rivers National Forest,-123.376,41.333,2013-08-03 15:00:00,2013-08-03,2013-08-03
70,Silverwood Fire,2013-07-25 15:09:00,San Bernardino County Fire,San Bernardino, Hwy 138 west of Hwy 173,75,San Bernardino County Fire,-117.352,34.316,2013-07-26 18:15:00,2013-07-26,2013-07-25
71,Flume Fire,2013-07-28 09:43:00,CAL FIRE San Diego Unit,San Diego,Barrett Lake Road and Highway 94,25,CAL FIRE San Diego Unit,-116.70733500000001,32.612773,2013-07-28 17:50:00,2013-07-28,2013-07-28
72,Aspen Fire,2013-07-22 22:15:00,Sierra National Forest,Fresno,Seven miles north of Big Creek,22992,Sierra National Forest,-119.318,37.279,2013-09-24 20:15:00,2013-09-24,2013-07-22
73,Salmon River Complex,2013-07-31 22:00:00,Klamath National Forest,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",14754,Klamath National Forest,-123.176,41.32,2013-08-31 06:45:00,2013-08-31,2013-07-31
74,Branch Fire,2013-08-01 16:01:00,CAL FIRE Butte Unit,Butte,Near Rocky Peak - North Fork Lake Oroville near Cherokee,92,CAL FIRE Butte Unit,-121.50353999999999,39.6612,2013-08-04 14:45:00,2013-08-04,2013-08-01
75,Redlands Fire,2013-07-16 17:48:00,CAL FIRE / Riverside County Fire,Riverside,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",150,CAL FIRE / Riverside County Fire,-117.164997,33.990128000000006,2013-07-17 07:45:00,2013-07-17,2013-07-16
76,Relay Fire,2013-08-04 16:29:00,CAL FIRE/Riverside County  Fire,Riverside,"near Mt. David, south of Beaumont",60,CAL FIRE/Riverside County  Fire,-116.99895,33.910270000000004,2013-08-04 18:00:00,2013-08-04,2013-08-04
77,Water Fire,2013-07-23 09:15:00,Kern County Fire,Kern,West side of Interstate 5 at Tejon Ranch,612,Kern County Fire,-118.93388,34.90327,2013-07-25 18:30:00,2013-07-25,2013-07-23
78,Pratt Fire,2013-07-23 13:29:00,CAL FIRE Mendocino Unit,Mendocino,"Hwy 175 & Pratt Ranch Road, East of Hopland ",45,CAL FIRE Mendocino Unit,-123.06767099999999,38.980846,2013-07-23 16:00:00,2013-07-23,2013-07-23
79,Rancho Fire,2013-07-19 12:00:00,CAL FIRE / Kern County Fire / State Parks / US Forest Service,Kern,West side of Interstate 5 in Lebec (Kern County),712,"CAL FIRE / Kern County Fire / State Parks / US Forest Service, Cal Fire, United States Forest Service, Ventura County Fire, Kern County Sheriff Department, Calif State Parks, Calif Highway Patrol",-118.9194,34.882,2013-07-22 18:45:00,2013-07-22,2013-07-19
80,Paskenta Fire,2013-07-19 13:32:00,CAL FIRE Tehama-Glenn Unit,Tehama,West of Corning,195,CAL FIRE Tehama-Glenn Unit,-122.33087900000001,39.961309,2013-07-19 15:00:00,2013-07-19,2013-07-19
81,Lakeville Fire,2013-07-26 13:45:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Off Lakeville Hwy, 6 miles SE of Petaluma",158,CAL FIRE Sonoma-Lake-Napa Unit,-122.51253,38.17693,2013-07-26 17:45:00,2013-07-26,2013-07-26
82,50 Fire,2013-07-19 14:12:00,CAL FIRE / Sacramento Metropolitan Fire,"El Dorado, Sacramento",South of Hwy 50 at the El Dorado and Sacramento County line,163,CAL FIRE / Sacramento Metropolitan Fire,-121.08438000000001,38.63987,2013-07-19 17:15:00,2013-07-19,2013-07-19
83,Heacock Fire,2013-07-19 16:21:00,CAL FIRE / Riverside County Fire,Riverside,Heacock St & Sandy Glade Ave in Moreno Valley,40,CAL FIRE / Riverside County Fire,-117.2508,33.9634,2013-07-20 19:30:00,2013-07-20,2013-07-19
84,Gilman Fire,2013-07-19 17:31:00,CAL FIRE / Riverside County Fire,Riverside,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",15,CAL FIRE / Riverside County Fire,-117.09306000000001,33.94528,2013-07-19 19:30:00,2013-07-19,2013-07-19
85,Chuckwagon Fire,2013-07-22 12:34:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"near the 4500 block of Chuckwagon Drive, Copperopolis",31,CAL FIRE Tuolumne-Calaveras Unit,-120.69636200000001,37.965364,2013-07-23 15:10:00,2013-07-23,2013-07-22
86,Power Fire,2013-08-05 06:00:00,Stanislaus National Forest,Tuolumne,"Near Beardsley Lake, northeast of Sonora",1070,Stanislaus National Forest,-120.02778,38.25108,2013-08-14 08:30:00,2013-08-14,2013-08-05
87,Falls Fire,2013-08-05 10:10:00,Cleveland National Forest / CAL FIRE Riverside Unit,Riverside,"Ortega Highway, west of Lake Elsinoire",1383,Cleveland National Forest / CAL FIRE Riverside Unit,-117.40288000000001,33.62236,2013-08-09 18:45:00,2013-08-09,2013-08-05
88,Tram Fire,2013-08-06 13:39:00,San Bernardino National Forest,Riverside,Off of Hwy 111 & Tramway Rd in Palm Springs,60,San Bernardino National Forest,-116.61,38.838,2013-08-08 09:00:00,2013-08-08,2013-08-06
89,Indian Fire,2013-08-07 12:35:00,CAL FIRE Sanoma-Lake-Napa Unit,Lake,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",38,CAL FIRE Sanoma-Lake-Napa Unit,-122.5906,39.1591,2013-08-07 18:30:00,2013-08-07,2013-08-07
90,Silver Fire,2013-08-07 14:05:00,CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,"Poppet Flats Rd near Hwy 243, south of Banning",20292,"CAL FIRE Riverside Unit / San Bernardino National Forest, Federal, State and Local Agencies from throughout the Western United States are assisting.",-116.90427,33.86157,2013-08-12 18:00:00,2013-08-12,2013-08-07
91,Corral Complex,2013-08-10 11:40:00,Six Rivers National Forest,Humboldt,Tish Tang Ridge east of Hoopa Valley Reservation,12503,Six Rivers National Forest,-123.488,41.035,2013-08-12 12:00:00,2013-08-12,2013-08-10
92,Cottonwood Fire,2013-08-15 14:40:00,CAL FIRE Siskiyou Unit,Siskiyou,"Cottonwood Creek Rd., 2 miles north of Hornbrook",50,CAL FIRE Siskiyou Unit,-122.57839299999999,41.923322999999996,2013-08-15 17:00:00,2013-08-15,2013-08-15
93,Union Fire,2013-08-16 13:55:00,CAL FIRE Amador-El Dorado Unit,El Dorado,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",116,CAL FIRE Amador-El Dorado Unit,-120.839075,38.682378,2013-08-16 17:55:00,2013-08-16,2013-08-16
94,Sharp Fire,2013-08-08 12:15:00,Angeles National Forest,San Bernardino,Sheep canyon just south of Wrightwood,243,Angeles National Forest,-117.62,34.35,2013-08-13 23:45:00,2013-08-13,2013-08-08
95,Cloverdale Fire,2013-08-14 15:37:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",27,CAL FIRE Shasta-Trinity Unit,-122.48258999999999,40.473356,2013-08-14 20:35:00,2013-08-14,2013-08-14
96,Swedes Fire,2013-08-16 16:37:00,CAL FIRE Butte Unit,Butte,southeast of Oroville,2462,"CAL FIRE Butte Unit, United States Forest Service, Oroville Fire Department, El Medio Fire Department, Chico Fire Department, Butte County Sheriff, California Highway Patrol, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Bureau of Land Management, South Feather Water and Power, Red Cross, North Valley Animal Rescue Group.",-121.38236,39.446267999999996,2013-08-22 18:00:00,2013-08-22,2013-08-16
97,American Fire,2013-08-10 16:30:00,Tahoe National Forest,Placer,"Deadwood Ridge, northeast of Foresthill",27440,Tahoe National Forest,-120.65,39.12,2013-08-30 08:00:00,2013-08-30,2013-08-10
98,Coyote Fire,2013-08-09 15:51:00,CAL FIRE Lassen-Modoc Unit,Lassen,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",97,CAL FIRE Lassen-Modoc Unit,-120.95812600000001,40.88886,2013-08-12 09:30:00,2013-08-12,2013-08-09
