,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1014,Shippee Fire,2018-06-26 12:56:00,CAL FIRE Butte Unit - Butte County Fire Department,Butte,"Midway Road and Esquon Road , 4 miles SE  of Durham",347,CAL FIRE Butte Unit - Butte County Fire Department,-121.78208000000001,39.59872,2019-01-04 09:59:00,2019-01-04,2018-06-26
1015,Fox Fire,2018-06-26 11:16:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Camp San Luis Obispo Range Echo, 3 miles NW of San Luis Obispo",260,CAL FIRE San Luis Obispo Unit,-120.71488000000001,35.33916,2019-01-04 10:00:00,2019-01-04,2018-06-26
1016,Hyatt Fire,2018-06-27 15:09:00,CAL FIRE Lassen Modoc Unit,Lassen,"Hyatt Ln and Standish Buntingville Rd, 5 miles east of Janesville",441,CAL FIRE Lassen Modoc Unit,-120.45053,40.316137,2019-01-04 09:59:00,2019-01-04,2018-06-27
1017,Cherry Fire,2018-06-27 19:46:00,Klamath National Forest,Siskiyou,"Cherry Maple Road Klamath River, NW of Yreka, Klamath National Forest",63,Klamath National Forest,-122.99271999999999,41.83359,2019-01-04 09:59:00,2019-01-04,2018-06-27
1018,Par Fire,2018-07-04 13:30:00,CAL FIRE Butte Unit/Butte County Fire Department,Butte,"off Par Four Way and Highway 162, west of the City of Oroville ",191,CAL FIRE Butte Unit/Butte County Fire Department,-121.637759,39.491737,2019-01-04 09:56:00,2019-01-04,2018-07-04
1019,Grant Fire,2018-06-29 15:46:00,Unified Command: CAL FIRE Amador-El Dorado Unit and Sacramento Metro Fire,Sacramento,"off Grant Line Rd and White Rock Rd, southwest of Folsom",30,Unified Command: CAL FIRE Amador-El Dorado Unit and Sacramento Metro Fire,-121.17693,38.595865,2019-01-04 09:58:00,2019-01-04,2018-06-29
1020,Valley Fire,2018-06-29 16:06:00,Unified Command: CAL FIRE and Contra Costa County Fire Department,Contra Costa,"Ygnaciao Valley Road and Cowell Road, Concord",268,Unified Command: CAL FIRE and Contra Costa County Fire Department,-121.9921,37.947140000000005,2019-01-04 09:58:00,2019-01-04,2018-06-29
1021,Tesla Fire,2018-06-29 20:59:00,CAL FIRE Santa Clara Unit,Santa Clara,"Tesla Road and Reuss Road, east of Livermore",70,CAL FIRE Santa Clara Unit,-121.67143999999999,37.660740000000004,2019-01-04 09:57:00,2019-01-04,2018-06-29
1022,Creek Fire,2018-06-30 12:12:00,San Bernardino National Forest,San Bernardino,"Hwy 330 and Old City Creek Rd, Community of Running Springs",33,San Bernardino National Forest,-117.15381000000001,34.17711,2019-01-04 09:57:00,2019-01-04,2018-06-30
1023,County Fire,2018-06-30 14:12:00,CAL FIRE Sonoma-Lake-Napa Unit,"Napa, Yolo",east of Lake Berryessa,90288,"CAL FIRE Sonoma-Lake-Napa Unit, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol, California Conservation Corps, Yolo County OES, Yolo County Sheriff, Solano County Sheriff, Napa County Sheriff, PG&E, Bureau of Indian Affairs, Yocha Dehe Wintun Nation, Bureau of Land Management, United States Forest Service, California Air National Guard and California National Guard.",-122.18183,38.80583,2019-01-04 09:57:00,2019-01-04,2018-06-30
1024,Benton Fire,2018-07-04 14:20:00,CAL FIRE / Riverside County Fire,Riverside,off Benton Road and Crams Corner Drive in Anza,63,CAL FIRE / Riverside County Fire,-116.732032,33.56349,2019-01-04 09:56:00,2019-01-04,2018-07-04
1025,Lariat Fire,2018-07-14 20:40:00,CAL FIRE Tehama-Glenn Unit,Tehama,"off Oakridge Rd & Horseshoe Dr, Rancho Tehama, southwest of Red Bluff",33,CAL FIRE Tehama-Glenn Unit,-122.44008000000001,40.00293,2019-01-04 09:46:00,2019-01-04,2018-07-14
1026,School Fire,2018-07-10 17:31:00,CAL FIRE Madera-Mariposa-Merced ,Madera,"in the area of Road 230 and Road 225, North Fork",12,CAL FIRE Madera-Mariposa-Merced ,-119.50461000000001,37.227909999999994,2019-01-04 09:50:00,2019-01-04,2018-07-10
1027,Petersburg Fire,2018-07-01 18:13:00,Klamath National Forest,Siskiyou,Petersburg and Caribou Creek Rd 3 MI SW of Cecilville,215,Klamath National Forest,-123.051,41.085,2019-01-04 09:56:00,2019-01-04,2018-07-01
1028,West Fire,2018-07-06 23:39:00,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",San Diego,"off I-8 & West Willows Rd, Community of Alpine",504,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",-116.7311,32.833674,2019-01-04 09:55:00,2019-01-04,2018-07-06
1029,Buckingham Fire,2018-07-02 14:25:00,Moraga-Olinda Fire District ,Contra Costa,"Buckingham Dr and Moraga Rd, southwest of Walnut Creek ",45,Moraga-Olinda Fire District ,-122.12351000000001,37.86339,2019-01-04 09:57:00,2019-01-04,2018-07-02
1030,Building Fire,2018-07-06 10:11:00,CAL FIRE San Diego Unit / San Diego County Fire Authority,San Diego,off Highway 94 and Community Building Road near Dulzura,10,CAL FIRE San Diego Unit / San Diego County Fire Authority,-116.764733,32.619855,2019-01-04 09:55:00,2019-01-04,2018-07-06
1031,Shingle Fire,2018-07-04 17:09:00,CAL FIRE Amador-El Dorado Unit,El Dorado,"off South Shingle Road and Latrobe Road, west of Latrobe",316,CAL FIRE Amador-El Dorado Unit,-121.059979,38.539806,2019-01-04 09:56:00,2019-01-04,2018-07-04
1032,Klamathon Fire,2018-07-05 12:31:00,CAL FIRE Siskiyou Unit,Siskiyou,"off Klamathon Road and Copco Road, south of Hornbrook",38008,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff’s Department, California Department of Corrections and Rehabilitation, Siskiyou County Office of Emergency Services, Bureau of Land Management, California Conservation Corps.",-122.534655,41.893332,2019-01-04 09:55:00,2019-01-04,2018-07-05
1033,Irish Fire,2018-07-06 14:42:00,CAL FIRE Amador - El Dorado Unit,Amador,"off Irish Ridge Road and Carbondale Road, southeast of Plymouth",825,"CAL FIRE Amador - El Dorado Unit, Amador County FD, Amador County Sheriff, Sac Metro FD, Diamond Springs FD, CHP, USFS, ENF, Shingle Springs Miwok Tribe FD, Garden Valley Fire Protection District, PG&E, Sacramento Regional Incident Management Team",-120.95408,38.42623,2019-01-04 09:54:00,2019-01-04,2018-07-06
1034,Valley Fire,2018-07-06 13:29:00,San Bernardino National Forest ,San Bernardino,Valley of the Falls Dr & Service Road 1S08,1350,"San Bernardino National Forest , BLM, NPS, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, CALFIRE, CALTRANS, San Bernardino County Animal Control, American Red Cross, So California Edison",-116.95880600000001,34.095568,2019-01-04 09:55:00,2019-01-04,2018-07-06
1035,Eagle Fire,2018-07-13 22:03:00,BLM Northern District (NOD) ,Modoc,"County Rd 40/ County Rd1, South West of Eagleville",2100,BLM Northern District (NOD) ,-120.11461000000001,41.29363,2019-01-04 09:46:00,2019-01-04,2018-07-13
1036,Holiday Fire,2018-07-06 20:40:00,Santa Barbara County Fire,Santa Barbara,"off north Fairview Ave and Holiday Hill Road, City of Goleta",113,Santa Barbara County Fire,-119.83138899999999,34.463889,2019-01-04 09:54:00,2019-01-04,2018-07-06
